"No.","Time","Receiver address","Transmitter address","Destination address","Source","Destination","Type/Subtype","Protocol","PHY type","Length","Info"
"37","0.105199","9c:1c:10:e0:dd:d1","b8:e8:56:40:66:62","b4:04:89:60:87:c0","Apple_40:66:62","b4:04:89:60:87:c0","QoS Data","802.11","802.11n","154","QoS Data, SN=2044, FN=1, Flags=.p.....T."
"38","0.105275","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","","Apple_40:66:66 (b8:e8:56:40:66:66) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"39","0.105349","b8:e8:56:40:66:66","","","","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"40","0.105491","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"41","0.105588","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"42","0.105663","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"43","0.105764","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","150","QoS Data, SN=1063, FN=0, Flags=.pm.R.F.C"
"44","0.105839","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","154","QoS Data, SN=1064, FN=0, Flags=.p..R.F.C"
"45","0.106033","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","","Apple_40:66:66 (b8:e8:56:40:66:66) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"46","0.106119","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","","Apple_40:66:66 (b8:e8:56:40:66:66) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
